RainTomorrow,confianza,n,media,sd,se,ic_inf,ic_sup
No,95%,107670,46.51062505804774,18.489475795722612,0.05634783599855619,46.40018408735813,46.621066028737346
No,99%,107670,46.51062505804774,18.489475795722612,0.05634783599855619,46.36548007780653,46.65577003828894
Yes,95%,30913,68.80001940931,19.037408791330805,0.10827726036146665,68.5877915688446,69.0122472497754
Yes,99%,30913,68.80001940931,19.037408791330805,0.10827726036146665,68.52109844668455,69.07894037193545
