WindDir9am,frecuencia,porcentaje
N,11758,8.716473675626789
NNE,8129,6.026213174789094
NE,7671,5.6866873248624845
ENE,7836,5.809005589574036
E,9176,6.802378163595119
ESE,7630,5.656293089388705
SE,9287,6.884664996219253
SSE,9112,6.754933503343366
S,8659,6.419114267498925
SSW,7587,5.624416208282058
SW,8423,6.244162082820584
WSW,7024,5.207051462629917
W,8459,6.270849704212196
WNW,7414,5.496167361039038
NW,8749,6.485833320977953
NNW,7980,5.9157560751404805
