variable,confianza,n,media,sd,se,ic_inf,ic_sup
Humidity3pm,95%,140953,51.5391158755046,20.795901656020494,0.055391176952103334,51.430550231356534,51.647681519652664
Humidity3pm,99%,140953,51.5391158755046,20.795901656020494,0.055391176952103334,51.39643572662869,51.68179602438051
