tipo_variable,cantidad,variables
continua/numerica,20,"MinTemp, MaxTemp, Rainfall, Evaporation, Sunshine, WindGustSpeed, WindSpeed9am, WindSpeed3pm, Humidity9am, Humidity3pm, Pressure9am, Pressure3pm, Cloud9am, Cloud3pm, Temp9am, Temp3pm, RainToday_bin, RainTomorrow_bin, Year, Month"
categorica/no_numerica,8,"Date, Location, WindGustDir, WindDir9am, WindDir3pm, RainToday, RainTomorrow, Season"
