umbral_humidity3pm,sensibilidad,especificidad,valor_predictivo_positivo,valor_predictivo_negativo,proporcion_alertas,probabilidad_rain_yes_condicional_alerta
50,0.8404250569272671,0.5730448565132791,0.3622873200400339,0.9256098576305054,0.51956,0.3622873200400339
60,0.678215832477564,0.7651766039972682,0.4546134737976237,0.8917656599636565,0.33413,0.4546134737976237
70,0.4737241594856454,0.8966534798912413,0.5695115405260333,0.8551431731596412,0.1863,0.5695115405260333
80,0.2767781399294548,0.9659162661237324,0.7009271822704658,0.8223046206503137,0.08844,0.7009271822704658
