parametro,estimacion_s1,ic_clasico_95_li,ic_clasico_95_ls,ic_percentil_95_li,ic_percentil_95_ls,ic_bca_95_li,ic_bca_95_ls,media_bootstrap,error_estandar_bootstrap,n_remuestras,ancho_ic_clasico,ancho_ic_percentil,ancho_ic_bca,razon_ancho_percentil_vs_clasico,razon_ancho_bca_vs_clasico,incluye_estimacion_s1_percentil,incluye_estimacion_s1_bca,lectura_metodologica
Media global de Humidity3pm,51.5391158755046,51.43055023135653,51.64768151965267,51.43037430916688,51.648830461217564,51.43026650414824,51.64862218385598,51.53912623285776,0.055528089381214764,10000,0.21713128829614448,0.2184561520506847,0.2183556797077344,1.0061016713203177,1.0056389450880059,True,True,El intervalo BCa contiene la estimación de S1; la evidencia bootstrap es concordante con el resultado previo.
Media de Humidity3pm | RainTomorrow = No,46.51062505804774,46.40018408735813,46.621066028737346,46.400490155103554,46.623351676418686,46.40058242342478,46.62343664968974,46.51077051546392,0.05656402059933089,10000,0.22088194137921846,0.22286152131513148,0.22285422626495688,1.0089621628800989,1.0089291359602472,True,True,El intervalo BCa contiene la estimación de S1; la evidencia bootstrap es concordante con el resultado previo.
Media de Humidity3pm | RainTomorrow = Yes,68.80001940931,68.5877915688446,69.0122472497754,68.59178743570666,69.01385743861806,68.59281794934938,69.01473464567579,68.80010616245592,0.10786269252655069,10000,0.4244556809308051,0.42207000291139707,0.4219166963264058,0.994379441419711,0.9940182574566291,True,True,El intervalo BCa contiene la estimación de S1; la evidencia bootstrap es concordante con el resultado previo.
Diferencia de medias Humidity3pm: Yes - No,22.28939435126226,22.050152012229145,22.528636690295375,22.050744168371676,22.52576626763563,22.05837164324689,22.53165535064235,22.28779365074958,0.12104358193192569,10000,0.47848467806623063,0.47502209926395267,0.4732837073954599,0.9927634489441297,0.989130329748927,True,True,El intervalo BCa contiene la estimación de S1; la evidencia bootstrap es concordante con el resultado previo.
Proporción de RainTomorrow = Yes,0.22418121848473554,0.22201357058309593,0.22634886638637516,0.22207844268001942,0.2263613539344412,0.22208547537501847,0.2263613539344412,0.22419033567053234,0.001110231910646306,10000,0.004335295803279238,0.0042829112544217895,0.004275878559422741,0.9879167301991656,0.98629453523989,True,True,El intervalo BCa contiene la estimación de S1; la evidencia bootstrap es concordante con el resultado previo.
