estrategia,variable,n_estrategia,n_variable_valido,n_imputados_variable,media,mediana,desviacion_estandar,correlacion_con_RainTomorrow,desviacion_estandar_observada,razon_DE_vs_observado,encogimiento_varianza_porcentual
observado_disponible,MinTemp,99535,99077,0,12.192028422338183,12.0,6.402115138253,0.0831822131031293,6.402115138253,1.0,0.0
observado_disponible,MaxTemp,99535,99311,0,23.23050215988159,22.6,7.115120300679408,-0.16030487661668463,7.115120300679408,1.0,0.0
observado_disponible,Rainfall,99535,98536,0,2.350140050336933,0.0,8.461159624168191,0.24182328092301736,8.461159624168191,1.0,0.0
observado_disponible,WindGustSpeed,99535,92973,0,39.998074709862,39.0,13.601413039967483,0.23657502975884231,13.601413039967483,1.0,0.0
observado_disponible,Humidity9am,99535,98276,0,68.85162196263585,70.0,19.052472723528233,0.2556362615921692,19.052472723528233,1.0,0.0
observado_disponible,Humidity3pm,99535,96980,0,51.49103938956486,52.0,20.784874914314152,0.4471548508290711,20.784874914314152,1.0,0.0
observado_disponible,Pressure9am,99535,89689,0,1017.6415647403807,1017.6,7.121477780384764,-0.24830662545638468,7.121477780384764,1.0,0.0
observado_disponible,Pressure3pm,99535,89733,0,1015.2466817335874,1015.2,7.057690838768577,-0.22712174193956935,7.057690838768577,1.0,0.0
observado_disponible,Temp9am,99535,98897,0,16.996099982810396,16.7,6.491363366153102,-0.02602011708139724,6.491363366153102,1.0,0.0
observado_disponible,Temp3pm,99535,97604,0,21.689803696569815,21.1,6.9357501328419,-0.19439315038750715,6.9357501328419,1.0,0.0
observado_disponible,RainToday_bin,99535,98536,0,0.22383697328895022,0.0,0.4168162015184119,0.31406844815412055,0.4168162015184119,1.0,0.0
casos_completos,MinTemp,83683,83683,0,12.396160510497952,12.1,6.363782224308033,0.08815714697633467,6.402115138253,0.9940124610199642,1.193922733703412
casos_completos,MaxTemp,83683,83683,0,23.492868324510354,23.0,6.986121375569649,-0.16117557215076023,7.115120300679408,0.9818697478526904,3.5931798251694125
casos_completos,Rainfall,83683,83683,0,2.3257626997120084,0.0,8.44245244727299,0.24262904646109776,8.461159624168191,0.9977890528336367,0.44170060453541105
casos_completos,WindGustSpeed,83683,83683,0,40.11964198224251,39.0,13.481458411516325,0.23847986892049214,13.601413039967483,0.9911807230543861,1.756077424538438
casos_completos,Humidity9am,83683,83683,0,68.30321570689388,69.0,19.13234640994891,0.26061242546473207,19.052472723528233,1.0041923002635789,-0.8402175908657661
