Variable,Coeficiente,Odds_Ratio,P_value,Significativo_0_05
Humidity3pm,1.2552734459063561,3.5087977095433693,0.0,Sí
RainToday,0.31591875388042,1.3715188205171711,0.0,Sí
Pressure3pm,-0.6251556076747502,0.5351781442127216,0.0,Sí
const,-1.749515592475727,0.1738581412475519,0.0,Sí
