grupo,q1,q3,IQR,limite_inferior,limite_superior,n_original,n_filtrado_iqr,datos_eliminados,porcentaje_eliminado
RainTomorrow = Yes,57.0,84.0,27.0,16.5,124.5,30913,30694,219,0.708439814964578
RainTomorrow = No,33.0,60.0,27.0,-7.5,100.5,107670,107670,0,0.0
