escenario,parametro_modificado,cambio_relativo,n_iteraciones,semilla,media_yes_usada,media_no_usada,sd_yes_usada,sd_no_usada,proporcion_yes_usada,n_objetivo_valido_para_prevalencia,n_humidity_observada_yes,n_humidity_observada_no,fuente_prevalencia,media_delta_individual_yes_no,probabilidad_delta_individual_mayor_0,sensibilidad_umbral_60,especificidad_umbral_60,vpp_umbral_60,vpn_umbral_60,proporcion_alertas_umbral_60,eventos_lluvia_esperados_por_1000,alertas_esperadas_por_1000,verdaderos_positivos_esperados_por_1000,falsos_positivos_esperados_por_1000,eventos_no_detectados_esperados_por_1000,n_carteras_simuladas,tamano_cartera,vpp_cartera_media,vpp_cartera_ic_empirico_95_li,vpp_cartera_ic_empirico_95_ls,sensibilidad_cartera_media,sensibilidad_cartera_ic_empirico_95_li,sensibilidad_cartera_ic_empirico_95_ls,variacion_media_delta_vs_base,variacion_vpp_umbral_60_vs_base
Base,Sin modificación,0.0,100000,5012803,68.80001940931,46.51062505804774,19.03740879133072,18.489475795722328,0.22418121848473554,142193,30913,107670,S1: todas las observaciones con RainTomorrow válido,21.783046700508493,0.799,0.6766573420363217,0.7658591360239548,0.45653085680047933,0.8906934854398079,0.3338,225.20999999999998,333.8,152.39,181.41,72.82,10000,1000,0.45670807726710994,0.40384615384615385,0.5090922949002217,0.676589208082563,0.6153846153846154,0.7368421052631579,0.0,0.0
Media Yes +5%,media_humidity3pm_yes,0.05,100000,5012803,72.2400203797755,46.51062505804774,19.03740879133072,18.489475795722328,0.22418121848473554,142193,30913,107670,S1: todas las observaciones con RainTomorrow válido,25.014024783414555,0.83332,0.7400648283823986,0.7658591360239548,0.4788267065042519,0.9102037059761934,0.34808,225.20999999999998,348.08,166.67,181.41,58.54,10000,1000,0.4785226972895689,0.4251459580838324,0.5306150952000912,0.7402427922421905,0.6808485665767655,0.7978750268643885,3.230978082906063,0.022295849703772574
Media Yes -5%,media_humidity3pm_yes,-0.05,100000,5012803,65.36001843884449,46.51062505804774,19.03740879133072,18.489475795722328,0.22418121848473554,142193,30913,107670,S1: todas las observaciones con RainTomorrow válido,18.487786994460848,0.7613,0.6120509746458861,0.7658591360239548,0.4317619420516836,0.8716562614763129,0.31925,225.20999999999998,319.25,137.84,181.41,87.37,10000,1000,0.43156655838803537,0.37539407910701283,0.48623853211009177,0.6121712462105765,0.5477381721887445,0.6761904761904762,-3.295259706047645,-0.024768914748795723
Media No +5%,media_humidity3pm_no,0.05,100000,5012803,68.80001940931,48.83615631095012,19.03740879133072,18.489475795722328,0.22418121848473554,142193,30913,107670,S1: todas las observaciones con RainTomorrow válido,19.47479834987385,0.77376,0.6766573420363217,0.7259902683307735,0.4178617455921467,0.8853787914561395,0.36469,225.20999999999998,364.69,152.39,212.3,72.82,10000,1000,0.417883187775036,0.36826913590686794,0.4684951076320939,0.6764316559127538,0.6153846153846154,0.737971097529921,-2.308248350634642,-0.03866911120833261
Media No -5%,media_humidity3pm_no,-0.05,100000,5012803,68.80001940931,44.18509380514535,19.03740879133072,18.489475795722328,0.22418121848473554,142193,30913,107670,S1: todas las observaciones con RainTomorrow válido,24.08765870624285,0.82304,0.6766573420363217,0.8021786548613172,0.4985604920499902,0.8951234265633551,0.30566,225.20999999999998,305.65999999999997,152.39,153.27,72.82,10000,1000,0.49872947137552764,0.4418587296077751,0.5555555555555556,0.6768681675195779,0.6141060639149742,0.7352941176470589,2.3046120057343558,0.042029635249510866
SD Yes +5%,sd_humidity3pm_yes,0.05,100000,5012803,68.80001940931,46.51062505804774,19.989279230897257,18.489475795722328,0.22418121848473554,142193,30913,107670,S1: todas las observaciones con RainTomorrow válido,21.675908796582295,0.79283,0.6684427867323831,0.7658591360239548,0.4535020334387709,0.8882269291220717,0.33195,225.20999999999998,331.95000000000005,150.54,181.41,74.67,10000,1000,0.45376752195165265,0.4006111670704816,0.5070422535211268,0.6687895301280646,0.6066350710900474,0.7300884955752213,-0.10713790392619771,-0.003028823361708455
SD Yes -5%,sd_humidity3pm_yes,-0.05,100000,5012803,68.80001940931,46.51062505804774,18.085538351764182,18.489475795722328,0.22418121848473554,142193,30913,107670,S1: todas las observaciones con RainTomorrow válido,21.877274878532848,0.80499,0.6861595843879046,0.7658591360239548,0.45999285586711913,0.8935638345932596,0.33594,225.20999999999998,335.94,154.53,181.41,70.68,10000,1000,0.46041390070114213,0.40666566265060244,0.5134328358208955,0.6864709277481066,0.6234296038689344,0.7487928429150353,0.09422817802435546,0.003461999066639798
Proporción Yes +5%,proporcion_raintomorrow_yes,0.05,100000,5012803,68.80001940931,46.51062505804774,19.03740879133072,18.489475795722328,0.23539027940897234,142193,30913,107670,S1: todas las observaciones con RainTomorrow válido,21.783046700508493,0.799,0.6768418830483428,0.7657996462032366,0.47283506370929684,0.8841987412248851,0.33904,236.85,339.04,160.31,178.73,76.54,10000,1000,0.47316064209042524,0.42058823529411765,0.5256410256410257,0.6769522055947369,0.6163265306122448,0.7352941176470589,0.0,0.01630420690881751
Proporción Yes -5%,proporcion_raintomorrow_yes,-0.05,100000,5012803,68.80001940931,46.51062505804774,19.03740879133072,18.489475795722328,0.21297215756049875,142193,30913,107670,S1: todas las observaciones con RainTomorrow válido,21.783046700508493,0.799,0.6766906743990272,0.7656134727416113,0.43984071011673154,0.8969808059132094,0.32896,213.82000000000002,328.96,144.69,184.27,69.13,10000,1000,0.43967970110692794,0.38719266325727775,0.49271137026239065,0.6769027001178423,0.6150228873239436,0.7399147586969834,0.0,-0.016690146683747797
