variable,VIF
Rainfall_log1p,4.789743509962434
Rainfall_log1p_sq,4.192526213916082
MaxTemp,2.4874946420189485
Humidity9am,2.392374320267553
Season_Winter,2.354627943486313
Humidity3pm,2.2667443207072204
Season_Autumn,1.7829055585580942
Season_Spring,1.7358241483382588
WindGustSpeed,1.7224561330399262
Pressure3pm,1.5978804909879565
WindGustSpeed_sq,1.3645516534346214
Humidity3pm_sq,1.2834217876007517
MaxTemp_sq,1.2685404674558607
