Estrategia,Registros,Porcentaje_conservacion,Accuracy,Precision,Recall,F1-Score,AUC
Eliminación de registros incompletos,124791,85.79,0.8397,0.7155,0.4569,0.5577,0.8457
Imputación por mediana,140787,96.79,0.8379,0.7136,0.4483,0.5507,0.837
