estrategia,tipo_test,estimador_predictivo,n,threshold,TN,FP,FN,TP,accuracy,balanced_accuracy,precision,recall,F1,ROC_AUC,PR_AUC,Brier
casos_completos,nativo,LogisticRegression; class_weight=balanced,36019,0.6,24411,3750,2582,5276,0.8242038923901275,0.7691273893434389,0.5845335696875692,0.6714176635276151,0.624970386164416,0.861181826285572,0.6858841745609958,0.1472482819736657
casos_completos,comun,LogisticRegression; class_weight=balanced,36019,0.6,24411,3750,2582,5276,0.8242038923901275,0.7691273893434389,0.5845335696875692,0.6714176635276151,0.624970386164416,0.861181826285572,0.6858841745609958,0.1472482819736657
imputacion_simple,nativo,LogisticRegression; class_weight=balanced,42658,0.6,28545,4550,3336,6227,0.815134324159595,0.756836245831332,0.5778045838359469,0.6511554951375091,0.612291052114061,0.8484337429645914,0.6646083434352007,0.15459513649935883
imputacion_simple,comun,LogisticRegression; class_weight=balanced,36019,0.6,24383,3778,2568,5290,0.8238152086398846,0.7695210598181281,0.5833700926334363,0.6731992873504709,0.6250738508803025,0.8606242977908839,0.6845162785163327,0.14909735190057477
imputacion_regresion,nativo,LogisticRegression; class_weight=balanced,42658,0.6,28554,4541,3211,6352,0.8182755872286558,0.7635078240139574,0.5831267786651978,0.6642267071002823,0.6210402815799765,0.852473673643051,0.6727076161204855,0.15249100002029398
imputacion_regresion,comun,LogisticRegression; class_weight=balanced,36019,0.6,24417,3744,2571,5287,0.8246758655154224,0.7699338432960049,0.585427970324438,0.6728175108170018,0.6260879862632482,0.8604787551750506,0.6848610560032312,0.14813861743489132
