iteracion,media_acumulada_delta_individual,vpp_acumulado_umbral_60,desviacion_media_delta_respecto_final,desviacion_vpp_respecto_final
1000,22.671321254844024,0.5029761904761905,0.8882745543355313,0.04644533367571113
2000,22.488874274749776,0.4841040462427746,0.7058275742412832,0.027573189442295254
3000,22.74103653366686,0.47347740667976423,0.9579898331583685,0.0169465498792849
4000,22.980586093722188,0.4749455337690632,1.1975393932136953,0.018414676968583843
5000,22.5012460932097,0.4638447971781305,0.7181993927012087,0.007313940377651151
6000,22.523541561087406,0.4678675754625122,0.740494860578913,0.01133671866203284
7000,22.55398814117074,0.4639564124056999,0.7709414406622486,0.0074255556052205685
8000,22.35698920372047,0.46224340175953077,0.5739425032119776,0.0057125449590514354
9000,22.39301855434572,0.4623164763458401,0.6099718538372265,0.005785619545360776
10000,22.3329482928828,0.4592375366568915,0.549901592374308,0.002706679856412153
20000,22.050517898046337,0.45775274236584645,0.2674711975378443,0.0012218855653671201
30000,21.889519006119222,0.4599960489924931,0.10647230561072973,0.003465192192013744
40000,21.98715060152559,0.4574404761904762,0.20410390101709908,0.0009096193899968408
50000,21.919255998797823,0.45856091189741155,0.13620929828933015,0.002030055096932215
60000,21.834960881954927,0.458211252917515,0.05191418144643478,0.0016803961170356874
70000,21.79141407757921,0.4568590672691619,0.008367377070715776,0.0003282104686825882
80000,21.789249943743805,0.45575436106234357,0.0062032432353120726,-0.0007764957381357629
90000,21.791171530366306,0.4563200425659273,0.008124829857813154,-0.00021081423455204806
100000,21.783046700508493,0.45653085680047933,0.0,0.0
