modelo,logLik,AIC,BIC,n_parametros,convergio,iteraciones
M1_S1_S2,-38287.15941814177,76586.31883628354,76643.36842400406,6,True,6
M2_stepwise_AIC,-37035.38831983201,74094.77663966402,74208.87581510507,12,True,6
M3_BIC_parsimonioso,-37037.51343702453,74097.02687404906,74201.61778487003,11,True,6
