estrategia,variable,media,mediana,desviacion_estandar,asimetria,distancia_Wasserstein_normalizada_IQR
casos_completos,MinTemp,12.396160510497952,12.1,6.36378222430797,0.05787904111254336,0.021949766756901152
casos_completos,MaxTemp,23.492868324510354,23.0,6.986121375569652,0.3176902933236302,0.025472469069826885
casos_completos,Rainfall,2.3257626997120084,0.0,8.442452447271398,9.74133531715468,0.0496860002801004
casos_completos,WindGustSpeed,40.11964198224251,39.0,13.481458411515938,0.8793002320312081,0.00895913549665616
casos_completos,Humidity9am,68.30321570689388,69.0,19.13234640994864,-0.4772317840301995,0.021385499704666227
casos_completos,Humidity3pm,50.89290536907138,52.0,20.69836042894045,0.01443578829923212,0.02062600863715566
casos_completos,Pressure9am,1017.6421961449757,1017.6,7.114976500315313,-0.10858516124113404,0.0013108350192926408
casos_completos,Pressure3pm,1015.2399208919373,1015.2,7.038380092029789,-0.06111664952216962,0.0023920351013039915
casos_completos,Temp9am,17.198899418041897,16.8,6.448422095243127,0.15541367304578338,0.02180639088510726
casos_completos,Temp3pm,21.983174599381,21.4,6.832504544517419,0.33665086146121165,0.029936273105310354
imputacion_simple,MinTemp,12.191144823428946,12.0,6.387381893043457,0.01941354929429049,0.0025912790486216928
imputacion_simple,MaxTemp,23.22908323705229,22.6,7.107172345357402,0.22570524953027063,0.0012662632308394664
imputacion_simple,Rainfall,2.3265524689807604,0.0,8.421849900978632,10.20481224189524,0.029484476695209334
imputacion_simple,WindGustSpeed,39.9322750791179,39.0,13.147750676983884,0.9167548838252804,0.04042592619694784
imputacion_simple,Humidity9am,68.86614758627618,70.0,18.93202740825309,-0.48964083851529144,0.00741590394161896
imputacion_simple,Humidity3pm,51.504104083990555,52.0,20.516528579618985,0.03090606577846776,0.014928055651210245
imputacion_simple,Pressure9am,1017.6374531571811,1017.6,6.760087173401844,-0.10807164077501938,0.05875443516833259
imputacion_simple,Pressure3pm,1015.2420846134526,1015.2,6.701183505611937,-0.05890854791643204,0.0576869384496439
imputacion_simple,Temp9am,16.9942020394836,16.7,6.470568671034075,0.09144681582386983,0.0036408064257434977
imputacion_simple,Temp3pm,21.67836138041895,21.1,6.868624201399352,0.24465124927370113,0.011111138785039727
imputacion_regresion,MinTemp,12.194210328920468,12.0,6.394198333108636,0.0185370707099894,0.0009700964554856843
imputacion_regresion,MaxTemp,23.230490576733605,22.6,7.110373458482214,0.2251764025225064,0.0006357770417956348
imputacion_regresion,Rainfall,2.3469678050812792,0.0,8.419822563194922,10.20517730458498,0.03223398971395323
imputacion_regresion,WindGustSpeed,39.96973719629985,39.0,13.227569222670715,0.8945651552936453,0.024195429392069225
imputacion_regresion,Humidity9am,68.93186275474257,70.0,19.01076153736044,-0.4868557323130348,0.0030861843117972448
imputacion_regresion,Humidity3pm,51.5352057143102,52.0,20.654572500253813,0.029950134675175336,0.004711989542993261
imputacion_regresion,Pressure9am,1017.6959623909312,1017.8,6.785249542201378,-0.13162301828061207,0.0452424996022705
imputacion_regresion,Pressure3pm,1015.298981562253,1015.4,6.7201785624863595,-0.08349972985838154,0.046213053916410264
imputacion_regresion,Temp9am,16.969992168998573,16.7,6.506141903922383,0.08136636148296107,0.002807988721085587
imputacion_regresion,Temp3pm,21.71693008546669,21.1,6.965160731472629,0.22919768282524686,0.0037632632246727324
