dfb_const,dfb_Humidity3pm,dfb_Rainfall_log1p,dfb_Pressure3pm,dfb_MaxTemp,dfb_WindGustSpeed,dfb_Humidity9am,dfb_Season_Autumn,dfb_Season_Winter,dfb_Season_Spring,dfb_Humidity3pm_sq,dfb_Rainfall_log1p_sq,dfb_MaxTemp_sq,dfb_WindGustSpeed_sq,cooks_d,standard_resid,hat_diag,dffits_internal,row_id,residuo_deviance,residuo_Pearson,alto_leverage,Cook_superior_umbral,residuo_deviance_extremo
0.008845307546987757,-0.015167929953119193,0.0004647271668479301,0.012720750277060678,-0.0021980361953343975,0.04864251327399613,0.013705769997846546,0.012893553002758155,0.013103640816855127,0.01578079582403117,0.013664429418647992,0.000797828763909431,0.0096495402516499,-0.1431607833984007,0.001668285504806927,-2.0528243158444566,0.005511812992187506,-0.15282669025579515,130043,-1.8148826217859715,-2.047159106797282,True,True,False
0.043654290007060566,-0.0043046118641191615,0.08477578801817941,0.02645706180233676,0.009857904034587197,-0.005942257121143632,-0.0070311261833232745,-0.008388102350620532,-0.019565681468318663,-0.006998291757334907,-0.004520526688588363,-0.11957288784032304,0.009441038909937763,-0.004483224935901763,0.0012716481387519192,-5.801650879923684,0.0005286426106656105,-0.13342816032517144,11681,-2.6627235390936117,-5.800117177268078,True,True,False
-0.02731698079993584,-0.0006741002207639331,0.0031832735348117334,0.013129739283067465,0.02194982916067379,-0.03547557180269846,-0.003482656567858198,0.0002195117884707218,0.0008200786672081841,0.008250272631139846,0.007646362819454917,-0.002322994853536767,0.00879456914767763,0.11830743103502123,0.001175817310851661,1.4437789521676538,0.007835203603994699,0.12830215319233368,107602,1.4973842044868215,1.4381116782513268,True,True,False
0.013671774349590549,-0.0093065418561632,-0.009078035840129775,0.0014889912848780437,0.004658827206030016,0.03065482236348833,0.0181206971362571,0.002485828504854358,-0.00016271180107862944,0.006474547637869957,0.015176589787698385,-0.00019292063304416355,-0.004774270921142173,-0.09876015389730869,0.0008485567305010148,-1.9016833751102906,0.003274222501215773,-0.10899446923198668,132683,-1.7475965483878166,-1.8985675552988417,True,True,False
0.009284250774268398,-0.0035733806940852248,-0.012406320598568046,-0.011912066343352316,-0.006366818066533152,0.03109372735754906,0.007611074839333926,0.005275551092459945,0.0059865173987943094,-0.0011714764345008425,0.004193220826037891,0.009721213676826546,0.008244804292060108,-0.10171886876888978,0.000825524046541545,-1.0887151040303162,0.009656398234556208,-0.10750505449120908,43190,-1.246195824961568,-1.0834458192901937,True,True,False
0.024185688279517437,-0.009228153808717169,-0.0029950309337468607,-0.013417334096952987,0.00926170516427574,0.00980315370129115,-0.0010566300733112063,-0.005741382472185649,0.019499228712237332,0.007579892667570499,-0.009839175835697279,-0.0010896754051768775,-0.033268015454978296,-0.0784059646094144,0.0008097847417694507,-5.614042312477266,0.0003595754827978911,-0.10647528572722745,54325,-2.6387227737937184,-5.613032885740353,True,True,False
0.021820825209547305,-0.00979114096591963,-0.0019991506225039216,-0.007745622332494864,0.01685108354100921,-0.006227098197746648,0.002051658540780408,0.00021287331224284625,0.014141867411984683,0.004097915662983006,0.004600829331891481,0.001416937889939832,-0.0906519890800383,-0.006534158946253815,0.0007639799715223326,-2.586507251074585,0.0015962056043260426,-0.10342011260209175,54754,-2.0191749557077117,-2.5844421279703016,True,True,False
0.01681766201571648,-0.01150803706593021,-0.01206409161612781,0.01106817944474025,-0.011958011854259244,0.016264278842851986,-0.0014761289776261094,-0.001994638667748475,-0.014087705512683303,-0.0007005328257975293,0.007441176978190446,0.00858231836726653,0.014037068701268382,-0.08691081007115407,0.0007459704675650016,-4.993849477475905,0.00041859780001709125,-0.10219386793438096,128443,-2.551598349146726,-4.992804160870203,True,True,False
0.016983286559958025,-0.0011399577994914204,0.06313839753693426,0.004156330631944724,0.002104265546265793,-0.00910201599103042,-0.013002290516549662,0.00805218279055723,0.005454936357669929,0.006230920196685431,0.0014253323373225396,-0.0905110540863432,0.0010817644694268067,-0.00022148417064446783,0.0007085013901529835,-2.3896370517295082,0.0017340081391009467,-0.09959427429580872,10486,-1.9504751682855612,-2.3875643277609995,True,True,False
-0.014196056915401382,-0.013250200087676385,0.004655757526781074,0.016736546621998978,0.019037495462046066,-0.014208757956946044,-0.0072422978668823254,-0.007557719150030836,-0.00827123912228884,-0.010765930359006763,0.025770502394783405,-0.003267727734396708,0.027721112322830574,0.0683729550764581,0.0006795382057694024,2.717600516376391,0.0012865053606386117,0.09753735240721648,36879,2.0617238985069224,2.7158518499620112,True,True,False
