replica,const,Humidity3pm,Rainfall_log1p,Pressure3pm,MaxTemp,WindGustSpeed,Humidity9am,Season_Autumn,Season_Winter,Season_Spring,Humidity3pm_sq,Rainfall_log1p_sq,MaxTemp_sq,WindGustSpeed_sq
1,-2.123214358903553,1.1437982651465546,0.4250330390156266,-0.5449442060942286,0.09539690066295525,0.48630566876061554,0.10578348567899545,0.4272120395699112,0.6742507089473448,0.3673866491494661,0.2114441139486659,-0.07054823285166374,-0.1065307739834499,-0.018563523208748142
2,-2.1259574122739004,1.1344570992780554,0.4598575874180664,-0.5217001483314815,0.11599462680709952,0.4935847310381425,0.11635033476973863,0.4681942404368579,0.6496542921048606,0.4157787968332349,0.2414900514438326,-0.09065542977084097,-0.09769129242132989,-0.023416026125713602
3,-2.115715005816497,1.1559844929803738,0.43766099892615856,-0.5095158912580965,0.11215858507947411,0.4986000664340265,0.08593855775650469,0.4340989067447065,0.6767137965454899,0.3385908141947896,0.22055467486184685,-0.08303919501915853,-0.0938589978785706,-0.024279046625584288
4,-2.137152516715988,1.1384844431545231,0.4187012438890195,-0.5034976295189334,0.12354124208059637,0.5050199805210418,0.12403259709615863,0.4455602160006659,0.6751888656651186,0.3780550070763331,0.22378848676998825,-0.07728376932604114,-0.08928947579659582,-0.03623929483314979
5,-2.097522330172123,1.1382892098239714,0.4347873643108324,-0.5146355692641971,0.12160318775542762,0.4827163633582243,0.11580929314357309,0.4105462359073038,0.6394422459540858,0.3561317281810379,0.22012801578090543,-0.08108818503294511,-0.09167588172780418,-0.025903319346464667
6,-2.124539951268635,1.1414243295588267,0.4087856918560492,-0.5211671414406032,0.09830593215722155,0.507511570637711,0.11078096286382487,0.4524183963791856,0.6628391139208764,0.4307427210709355,0.20710838827586842,-0.07063871533218119,-0.07920429437378895,-0.030863164343150094
7,-2.1348813173122245,1.134536154671995,0.4172244757917053,-0.5196901940133635,0.1307487078565408,0.5005977587313624,0.10918196628380136,0.4647796130231931,0.7000202770115671,0.4035389887452039,0.21913297658283862,-0.06976006237674474,-0.091696257442482,-0.024572166686729187
8,-2.1491839634434826,1.1300116729003529,0.45086885797040105,-0.5310703022536422,0.12957737710681913,0.5005228329404713,0.14663167320409445,0.44196951843460924,0.7015206794553159,0.40165856001657735,0.2325053959305123,-0.08470814426833942,-0.09256279286977935,-0.02806408093038881
9,-2.0743245123111778,1.099773977092512,0.4143147996050402,-0.5348217713909468,0.09346131302097212,0.4955381889178249,0.12652574235591457,0.4229656314479581,0.6512438624731809,0.3275735187756012,0.23709483450929217,-0.06983720127522193,-0.11001051720408707,-0.031297369574803315
10,-2.1349559486974354,1.1222124820055899,0.44211973613206956,-0.5279409759928306,0.13230880671492465,0.49794214838830037,0.14914089539692632,0.44183668102898827,0.6750024828510107,0.4075232804710536,0.21476305165215087,-0.08122248250091176,-0.08199876725753337,-0.038908414139292975
11,-2.1150873480794954,1.0805265257416796,0.4290631267399029,-0.5167653570588463,0.1109495178036849,0.5149958414499479,0.14214587178407176,0.4373782319734809,0.7005391978083146,0.365344212191607,0.23333265540671289,-0.07868218583955212,-0.10065931498777614,-0.03106146343659408
12,-2.103063100475435,1.1186918557191976,0.42624098072691086,-0.5378044467209172,0.11534421593218483,0.48796125801960544,0.1326320660685792,0.39396447996828865,0.6581277294776172,0.3281476919838337,0.2170674769190747,-0.07189707680245049,-0.0988259430913915,-0.02118621776577571
13,-2.134403253590208,1.1479893394475984,0.42764194838397973,-0.5143373413531356,0.13584088376205755,0.48368752089087524,0.11658457196464643,0.4190900450557331,0.6650265782035915,0.3633966880197156,0.22463494365933137,-0.07884377417286124,-0.07293532318615385,-0.02153982826572509
14,-2.1380386601538324,1.1390666731879762,0.43653076823190123,-0.5118487914883099,0.12861505111964763,0.4989898759746475,0.10396635188682773,0.4548070218226777,0.6999127463469274,0.3977531416129717,0.21556350871313515,-0.08154756388380952,-0.09876579088307565,-0.029715083424122456
15,-2.1113695486509787,1.1116544721796968,0.4155354542975513,-0.5346152846867727,0.07790158277617217,0.5093108529601325,0.14330126755439235,0.3959781198586238,0.6436861489987561,0.39015091493111037,0.23955518623342867,-0.07741294091134229,-0.11397400882253686,-0.033159566522285015
16,-2.0940386555597055,1.096843272260354,0.4225233987425389,-0.5104432022271911,0.12108613024318,0.5180947356857837,0.15956079135250992,0.4524005786154301,0.6839629288076746,0.38764468939392177,0.22853294183983172,-0.08207780530206338,-0.10536325203295875,-0.032963355735189596
17,-2.1195895828722744,1.129493190244379,0.4209839451355384,-0.5259498722690049,0.1092757944386254,0.5050773933273189,0.12846001126884518,0.42870908332286156,0.6283630975329024,0.37015898167713557,0.22490937484981713,-0.07621229994964132,-0.08011145478468695,-0.028866179188304412
18,-2.0961645907402957,1.150488139948049,0.43900235532572895,-0.5144237001581757,0.12294964911743438,0.5032461152463055,0.11445121627556139,0.4482430725935733,0.6821305861638169,0.38192564194401657,0.21088106458127495,-0.08846231117454346,-0.09671802838871839,-0.034522591567920896
19,-2.1046833619528242,1.1340990604917935,0.4045681970640648,-0.5130098500029185,0.11003298908729005,0.4984764376214159,0.1412265624754063,0.44354420055578,0.6219651732595702,0.39798798849820166,0.21982823474829524,-0.07362094825884617,-0.09560791236373697,-0.025113016427961522
20,-2.0820284157744764,1.132302109786801,0.44368536188265323,-0.5126213957540623,0.1177814853486442,0.503340687882608,0.12308672169643849,0.43238136856748993,0.6571987599633993,0.33550213748129465,0.20566044811390422,-0.08457747427128301,-0.09989887487946392,-0.026890672478896614
21,-2.0993422564695945,1.133776783282182,0.4578762470517091,-0.5014679923020654,0.13402123008107863,0.4829375720503499,0.1153951294852059,0.4366022654297838,0.6412926005487919,0.3169063704238416,0.22986886678776147,-0.08880296531818511,-0.09866310311429535,-0.018126197706627177
22,-2.064637602924998,1.0961317767880396,0.4209085297961928,-0.5116987518599753,0.10000892107813016,0.5233202118520345,0.14768270835959352,0.38335223748983677,0.6246741352884359,0.2878325987285533,0.22068587864866007,-0.07965728166168365,-0.09269450021472721,-0.02969196316245457
23,-2.082183290370733,1.1286430129644929,0.40986324197424484,-0.5109363906476891,0.11219482947866116,0.5077940244869743,0.1397102398335077,0.37118288588330467,0.6314277945600631,0.30312352668159287,0.22138280656569473,-0.0713858205597714,-0.09441906166080807,-0.029524427090753428
24,-2.126675678746065,1.1498385478404425,0.4447313376400726,-0.5051946575248825,0.11613774582391231,0.49143222796717784,0.09759382005511667,0.4295360681913685,0.6754401289166504,0.3675665190458792,0.2350731545317994,-0.08622704904301859,-0.10511467375796729,-0.03283674263830146
25,-2.1062143950359373,1.1139904669600365,0.45487178790864147,-0.5259584911813447,0.12418840854427404,0.490257887629058,0.1047078175323756,0.45297062277626077,0.6560701829054075,0.3480254238000123,0.22149843745604902,-0.08132901246013297,-0.07868896525010466,-0.03143807145664444
26,-2.0533825486243034,1.1042066187673425,0.4162609390969375,-0.5061263040758928,0.11251620321914677,0.4794315980090903,0.13506479133423013,0.39672189106628,0.5970687365891202,0.33800332893885066,0.2127176899867228,-0.07392039099379305,-0.09233172321198592,-0.02131751854368025
27,-2.1281127834551703,1.124372855282784,0.43107177546770675,-0.5076794130902083,0.13312611665590943,0.5204727909079857,0.16862806666821342,0.43639345518303196,0.6859703620924812,0.3447968477198265,0.2199750592977097,-0.08431277196768429,-0.08926008569521893,-0.0428705805307357
28,-2.0950474113110014,1.1408634195065004,0.4028435899108905,-0.5245461427928912,0.10196936571444831,0.471831812410231,0.1151418288308935,0.40676748203395496,0.6408785937184321,0.34999022755112624,0.20752876576554033,-0.06670409076653204,-0.09399718509703024,-0.022833991476396805
29,-2.0946716575973086,1.1203707405796914,0.4114427699991179,-0.5162307073946301,0.10211452908598646,0.48951524624847476,0.14072082189858448,0.44900389665073165,0.6460447133692044,0.3581739302021433,0.20240302381840372,-0.07139075733146447,-0.08750793541095633,-0.03681311087422549
30,-2.082539453427959,1.1152364858180703,0.4408832348366127,-0.5189812429022012,0.13247112298717498,0.5010330498499251,0.1534073053341304,0.431858195026051,0.6727153318974812,0.38978917243931444,0.2091814252924076,-0.08691463874123079,-0.09406377972448614,-0.03157845540739243
31,-2.11643459945214,1.138709297908235,0.39196605418912955,-0.510964781747799,0.13305473018635366,0.508648434560749,0.12660145536971582,0.4350442468831199,0.6520905756593132,0.36827705226712015,0.22692465076836926,-0.06369521631283326,-0.1010911541466118,-0.022302175252043865
32,-2.1510499059012784,1.1139743521688796,0.43511164214746434,-0.5209807636416437,0.12248557955015321,0.48959437735485173,0.14565473845077,0.4258101834275085,0.6809736879394983,0.408276474342576,0.23080280312928858,-0.08083868108777058,-0.08793303090523832,-0.020458369952170007
33,-2.0704922109146597,1.1229255169411414,0.4162349042003134,-0.5103702291296532,0.10248132116216242,0.5080203078776852,0.12338614861166936,0.39789191017621384,0.6348452125006496,0.30116322229138387,0.2101975180314329,-0.06839771234512049,-0.07734383476920452,-0.026329027566688895
34,-2.1372819406142853,1.158908056681713,0.43176317564778705,-0.5080874705484566,0.13159636048255652,0.5041569492038435,0.11664625638482867,0.41844161376757016,0.6916507486426,0.36303851615385585,0.2172785670877789,-0.0772518363656853,-0.10005997636498534,-0.024430401449986622
35,-2.127699429916969,1.12490614363566,0.38044175328424246,-0.5140436732131186,0.11476294402711332,0.48514849767376256,0.11756492742757058,0.4599088062617434,0.6470890332622624,0.3873772890259475,0.21787258435227383,-0.06258947246296628,-0.0940942522111663,-0.01592399787682749
36,-2.153342957482192,1.1086391691251116,0.42726103494142326,-0.5009612677565713,0.12108756868715784,0.5233227315971769,0.16287943143398592,0.47090008647028936,0.7060404350152598,0.40690387190691746,0.22051751589375826,-0.07357064338211462,-0.08330458604673859,-0.029754135944164435
37,-2.109681655110532,1.1248262163758558,0.42849581169979695,-0.5100903289532454,0.08187474722064095,0.5080172822760762,0.12429749939109455,0.4609301032881086,0.6601699457060398,0.3513167765512932,0.21510666331318418,-0.07451126155046735,-0.09095936944859977,-0.03209047079623853
38,-2.128839756328704,1.1059454838633835,0.40079926105063524,-0.4865712294767165,0.12805100627053032,0.4916730673968039,0.12504572786585819,0.43089233388599796,0.6404858697421048,0.3829744056690569,0.2311457581086844,-0.06607142905989809,-0.09240449587656423,-0.016354014908475326
39,-2.098029350996029,1.1390719521315444,0.41511144835895036,-0.4899991759300813,0.12407926761695866,0.5050693721399514,0.13258890331731454,0.3983610848099968,0.6182268483985232,0.3302440665968504,0.2187511844589774,-0.06606685827758131,-0.07846128011490028,-0.03201079250337258
40,-2.1340940623288875,1.1446265376323734,0.407717374519756,-0.5080623784584253,0.125825015757709,0.5071631940606971,0.12488966989433856,0.4052378620837334,0.6759620396049316,0.3758216824195017,0.2210952873429757,-0.06820822028206663,-0.08804924992274131,-0.025377722977450744
41,-2.144339120243618,1.1158399274145492,0.41148856702603237,-0.5195069490022683,0.11563439121433833,0.47813593077224165,0.1404878869988936,0.4201645245308106,0.7062679164685057,0.3511055786102883,0.2255403225633842,-0.0675324978124136,-0.0978989258430316,-0.013635202613214808
42,-2.1361821207263136,1.1522439284483663,0.43636306923493845,-0.5089529864864863,0.1448028280680669,0.49046942911406116,0.11712120821812709,0.46299481282329724,0.6628577521807236,0.39474307211910475,0.22740733879141323,-0.08530898224564046,-0.08814619787489394,-0.021279801768167225
43,-2.081216864104971,1.1288103020127707,0.41775029870191827,-0.5155631899908206,0.11499043269176473,0.5129719092255112,0.12462331246800289,0.4435014497419866,0.6245980049178709,0.35065239665058956,0.2178202917472987,-0.07414994419461342,-0.10309495635890292,-0.029653450884257016
44,-2.101448886145319,1.1419940264427402,0.42857237404744825,-0.5047815345221902,0.10254390764456388,0.5058498066867038,0.09661713264166298,0.4048920450745116,0.6465366954674527,0.2984763222172604,0.21454135270667374,-0.07376935369322714,-0.0906198633577734,-0.029163366975435517
45,-2.123453137438048,1.151761196457934,0.42174097368140157,-0.5075126537742621,0.13314677032724645,0.5036584338518956,0.12698644804550163,0.4325062694533799,0.7050172217064892,0.42237793104225124,0.20722189358402518,-0.07713046554615283,-0.0922794172107567,-0.03011107052682825
46,-2.125277963478737,1.115740340643531,0.4539525659322831,-0.5094052725301434,0.12001439524269551,0.47385624369095675,0.11550836012796481,0.4356322125048617,0.6533363148848629,0.35678628019811914,0.2271659350473921,-0.08516442845230639,-0.07971854753339856,-0.0192165516063966
47,-2.0924694432898545,1.142623877290247,0.42403074659106693,-0.5143684309663037,0.10794430438056365,0.5179912900621283,0.11432234391155408,0.4062532789202746,0.6477949805993618,0.3405841423329005,0.22147242761567817,-0.07458666509319353,-0.09199497009246319,-0.03198828440844108
48,-2.1208181263553154,1.1495987310047866,0.41737475126730567,-0.5167062484794759,0.10962065006592377,0.48307760564601304,0.10692241821885148,0.4425196351608419,0.6394321904218035,0.36029399338458806,0.2147376879103549,-0.0732724105534301,-0.084218757865346,-0.024378887207133035
49,-2.0864002929925305,1.1547887729995998,0.4372614015540662,-0.4967838263613392,0.110929212042482,0.5088601099437652,0.09277855487043771,0.43681412483325754,0.6580614591058391,0.3714685568611339,0.19799347485801144,-0.07858119820264477,-0.08669952422760203,-0.026807693649496245
50,-2.116593516681206,1.1350170663285721,0.3906382302103069,-0.5131493840286818,0.10634656019304167,0.5103291707790573,0.13490262826309252,0.42297342443600033,0.631075990756861,0.3687348408688017,0.2108303340488088,-0.0650893950166254,-0.08865870213353297,-0.02803784412407124
51,-2.0900614786324403,1.1284800205440333,0.4235493820055389,-0.522231185894595,0.0922799072765808,0.48777080604074813,0.0805899909632487,0.41806766721518474,0.662986358919198,0.34070426861077713,0.21279547409952182,-0.07782512943941963,-0.0930015120713905,-0.02994661065277601
52,-2.1204049458113206,1.109990216870183,0.4253317269308861,-0.535761468461097,0.12391751784195894,0.4868153836145192,0.14935675346377575,0.4388083016769625,0.6939696684640774,0.38151551735012146,0.21705178337356507,-0.08220339604697535,-0.09904457408718978,-0.023309297898987707
53,-2.131997045773309,1.1165059891112403,0.42014594084539353,-0.5031988253004362,0.13906993985633487,0.49490253261905964,0.1563637986282631,0.4090838671797387,0.663911214652479,0.4231246765247537,0.2197803438192479,-0.07174966489164034,-0.08993064914126775,-0.02388299838436353
54,-2.1655268760250075,1.1066907728227775,0.4407448178592151,-0.4880976842143015,0.12732397530016937,0.5041364600024585,0.12848547962981602,0.4434712222823421,0.6799460716718706,0.3931734053277353,0.2341954010241823,-0.0733004828270049,-0.06525119414105321,-0.027072408262995576
55,-2.0703701334357576,1.0867549753702677,0.4288451155827843,-0.5073904587106179,0.11819233334990839,0.4878513217244497,0.14956105193097716,0.4390503295520811,0.6400183892465044,0.34268005111097183,0.23175923465927958,-0.08750459870456087,-0.09585945088868644,-0.029107071688629915
56,-2.1585345363101127,1.1361620334378209,0.4011521744254398,-0.5063072579207425,0.1321991391789633,0.51089057587655,0.14094387126023272,0.48796023669763916,0.7246122528743113,0.4369035623585821,0.2070953404730582,-0.06832384905580784,-0.08285702590885427,-0.03421445841468691
