modelo,conjunto,estimador_predictivo,n,threshold,TN,FP,FN,TP,accuracy,balanced_accuracy,precision,recall,F1,ROC_AUC,PR_AUC,Brier
M1_S1_S2,train,LogisticRegression sin penalizacion; class_weight=balanced,99535,0.5,59761,17460,5685,16629,0.7674687295926056,0.7595614567811937,0.4878113174337763,0.7452272116160258,0.5896494867294293,0.8385399104846386,0.6521889572428008,0.1608099436450228
M2_stepwise_AIC,train,LogisticRegression sin penalizacion; class_weight=balanced,99535,0.5,60653,16568,5525,16789,0.7780378761239765,0.7689222809146847,0.5033126480199058,0.752397597920588,0.603150652943184,0.8517758347848692,0.6710642320478982,0.1541063941401887
M3_BIC_parsimonioso,train,LogisticRegression sin penalizacion; class_weight=balanced,99535,0.5,60534,16687,5495,16819,0.7771437182900487,0.7688239888384011,0.5019697964543663,0.7537420453526934,0.6026155499820852,0.8517008279394245,0.6711950967345462,0.15425152822196556
