escenario,n,threshold,TN,FP,FN,TP,accuracy,balanced_accuracy,precision,recall,F1,ROC_AUC,PR_AUC,Brier
sin_Location,42658,0.6,28554,4541,3211,6352,0.8182755872286558,0.7635078240139574,0.5831267786651978,0.6642267071002823,0.6210402815799765,0.852473673643051,0.6727076161204855,0.15249100002029398
con_Location,42658,0.6,28661,4434,3182,6381,0.8214637348211355,0.7666406429941456,0.5900138696255202,0.6672592282756458,0.6262636176268525,0.8597730428424365,0.6863854024702879,0.14851803066894115
