escenario,configuracion,tipo_umbral,seleccionada_OOF,n,threshold,TN,FP,FN,TP,accuracy,balanced_accuracy,precision,recall,F1,ROC_AUC,PR_AUC,Brier
inferencial_statsmodels_umbral_0_50,inferencial_sin_ponderacion,fijo_0_50,False,42658,0.5,31303,1792,5039,4524,0.8398659102630222,0.709463075609451,0.7162761241291957,0.47307330335668724,0.5698091819384092,0.8520873771675364,0.6738997273385048,0.11614359442306212
sin_ponderacion_umbral_0_50,sin_ponderacion,fijo_0_50,False,42658,0.5,31306,1789,5042,4521,0.8398659102630222,0.7093515451329774,0.7164817749603803,0.4727595942695807,0.5696465696465697,0.8520975355471008,0.6738921932908235,0.1161405572258148
sin_ponderacion_umbral_OOF,sin_ponderacion,OOF_optimizado,False,42658,0.3,28594,4501,3245,6318,0.8184162407989123,0.7623344600814153,0.583972640724651,0.660671337446408,0.6199587871651457,0.8520975355471008,0.6738921932908235,0.1161405572258148
balanceada_umbral_0_50,balanceada,fijo_0_50,False,42658,0.5,26313,6782,2455,7108,0.7834638285901824,0.769178090880908,0.5117350611951044,0.7432813970511346,0.60614846714706,0.852473673643051,0.6727076161204855,0.15249100002029398
balanceada_umbral_OOF,balanceada,OOF_optimizado,True,42658,0.6,28554,4541,3211,6352,0.8182755872286558,0.7635078240139574,0.5831267786651978,0.6642267071002823,0.6210402815799765,0.852473673643051,0.6727076161204855,0.15249100002029398
